#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,GameClockIn,Strength,Smith,Weber,Jewell,Lysyj,Red Comments,Jewell Comments
473,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 048",Opponent Possession,00:17:30.53,00:18:06.43,00:00:35.8360000,2,07:40,Even,,,,,,
474,"GM26 2019-02-01 Colgate at RPI P2, NZ Forecheck 009",NZ Forecheck,00:17:32.38,00:17:44.04,00:00:11.4280000,2,7:34,Even,,,,,,
475,"GM26 2019-02-01 Colgate at RPI P2, Opponent Entry 018",Opponent Entry,00:17:36.21,00:17:46.20,00:00:09.9770000,2,7:29,Even,,,,,,
476,"GM26 2019-02-01 Colgate at RPI P2, Opponent Forecheck 009",Opponent Forecheck,00:17:38.05,00:17:52.42,00:00:14.6150000,2,7:29,Even,,,,,,
477,"GM26 2019-02-01 Colgate at RPI P2, Shot Against 014",Shot Against,00:17:41.27,00:17:55.25,00:00:13.9810000,2,7:16,Even,,,,,,
478,"GM26 2019-02-01 Colgate at RPI P2, Defensive Zone 014",Defensive Zone,00:17:46.44,00:17:57.33,00:00:10.8110000,2,7:20,Even,,,,,,
479,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 084",Shift_TOI,00:19:11.58,00:19:53.10,00:00:41.1910000,2,07:15,Even,,,,,,
480,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 085",Shift_TOI,00:19:12.29,00:19:43.14,00:00:30.7470000,2,07:15,Even,,,,,,
481,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 047",TeamShift,00:19:12.35,00:19:43.17,00:00:30.6970000,2,07:15,Even,,,,,,
482,"GM26 2019-02-01 Colgate at RPI P2, Faceoff 010",Faceoff,00:19:12.52,00:19:25.51,00:00:12.9800000,2,7:16,Even,,,,,,
483,"GM26 2019-02-01 Colgate at RPI P2, SyncPoint 019",SyncPoint,00:19:13.30,00:19:15.30,00:00:02.0020000,2,07:15,Even,,,,,,
484,"GM26 2019-02-01 Colgate at RPI P2, SyncPoint 020",SyncPoint,00:19:13.34,00:19:15.34,00:00:02.0020000,2,07:15,Even,,,,,,
485,"GM26 2019-02-01 Colgate at RPI P2, Breakout 018",Breakout,00:19:14.01,00:19:21.15,00:00:07.2240000,2,7:11,Even,,,,,,
486,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 086",Shift_TOI,00:19:14.34,00:19:47.30,00:00:32.9330000,2,07:12,Even,,,,,,
487,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 087",Shift_TOI,00:19:14.45,00:19:52.19,00:00:37.5710000,2,07:12,Even,,,,,,
488,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 088",Shift_TOI,00:19:15.02,00:19:55.54,00:00:40.8580000,2,07:12,Even,,,,,,
489,"GM26 2019-02-01 Colgate at RPI P2, NZ Forecheck 010",NZ Forecheck,00:19:17.43,00:19:31.18,00:00:13.5800000,2,7:09,Even,,,,,,
490,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 051",RPI Possession,00:19:17.51,00:19:21.34,00:00:03.7040000,2,07:11,Even,,,,,,
491,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 052",RPI Possession,00:19:17.55,00:19:21.38,00:00:03.7040000,2,07:11,Even,,,,,,
492,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 049",Opponent Possession,00:19:22.23,00:19:38.23,00:00:15.9990000,2,07:07,Even,,,,,,
493,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 050",Opponent Possession,00:19:22.27,00:19:38.27,00:00:15.9990000,2,07:07,Even,,,,,,
494,"GM26 2019-02-01 Colgate at RPI P2, Opponent Entry 019",Opponent Entry,00:19:23.35,00:19:33.33,00:00:09.9770000,2,7:01,Even,,,,,,
495,"GM26 2019-02-01 Colgate at RPI P2, Opponent Forecheck 010",Opponent Forecheck,00:19:25.20,00:19:36.26,00:00:11.0940000,2,7:01,Even,,BO; Teach 23 fold under 21 follow 24 NF,,,,
496,"GM26 2019-02-01 Colgate at RPI P2, Jewell 030",Jewell,00:19:29.32,00:19:38.31,00:00:08.9760000,2,,,,,DZ; GOOD HALF GUY 24 TEACH SWIVLW,,,
497,"GM26 2019-02-01 Colgate at RPI P2, Defensive Zone 015",Defensive Zone,00:19:30.27,00:19:42.43,00:00:12.2620000,2,6:56,Even,,,,,,
498,"GM26 2019-02-01 Colgate at RPI P2, Breakout 019",Breakout,00:19:34.44,00:19:42.12,00:00:07.4570000,2,6:50,Even,,,,,,
