#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,Player Participation,GameClockIn,Strength,ScoutedPlayer,NonScoutedPlayer,Win/Loss,Chance?,Shot Location,Zone,FaceOffLRC,Entry Origin,Entry,Successful?,Breakout
66,"GM30 2019-02-16 Quinnipiac at RPI P3, Shot Against 010",Shot Against,00:03:37.55,00:03:51.54,00:00:13.9810000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",17:52,Even,,,,wide,high,,,,,,
67,"GM30 2019-02-16 Quinnipiac at RPI P3, Defensive Zone 006",Defensive Zone,00:03:38.41,00:03:59.17,00:00:20.6040000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",17:59,Even,,,,,,,,,,,
68,"GM30 2019-02-16 Quinnipiac at RPI P3, Faceoff 003",Faceoff,00:03:38.45,00:03:51.44,00:00:12.9800000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:02,Even,19 Linden,16 Fallstrom,loss,,,dz,right,,,,
69,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 006",TeamShift,00:03:38.46,00:04:03.08,00:00:24.3580000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:02,Even,,,,,,,,,,,
70,"GM30 2019-02-16 Quinnipiac at RPI P3, SyncPoint 003",SyncPoint,00:03:38.52,00:03:40.52,00:00:02.0020000,3,,18:02,Even,,,,,,,,,,,
71,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Possession 006",Opponent Possession,00:03:41.20,00:03:57.28,00:00:16.1330000,3,,18:00,Even,,,,,,,,,,,
72,"GM30 2019-02-16 Quinnipiac at RPI P3, Breakout 004",Breakout,00:03:51.19,00:03:58.49,00:00:07.5080000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",17:45,Even,,,,,,,,,,,dz coverage
73,"GM30 2019-02-16 Quinnipiac at RPI P3, Entry 002",Entry,00:03:55.35,00:04:05.34,00:00:09.9770000,3,"03 Samec, 04 Grant, 07 Bowman, 09 Moore, 31 Savory",17:41,Even,,,,,,,,breakout,dump,no,
74,"GM30 2019-02-16 Quinnipiac at RPI P3, Forecheck 001",Forecheck,00:03:57.18,00:04:08.33,00:00:11.2450000,3,"03 Samec, 04 Grant, 07 Bowman, 09 Moore, 12 Zieky, 17 Burgess, 31 Savory",17:41,Even,,,,,,,,,,,
75,"GM30 2019-02-16 Quinnipiac at RPI P3, RPI Possession 006",RPI Possession,00:03:57.35,00:04:02.12,00:00:04.6050000,3,,17:44,Even,,,,,,,,,,,
76,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Breakout 001",Opponent Breakout,00:04:00.34,00:04:08.04,00:00:07.4910000,3,"03 Samec, 04 Grant, 09 Moore, 12 Zieky, 17 Burgess, 31 Savory",17:36,Even,,,,,,,,,,,forecheck
77,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Possession 007",Opponent Possession,00:04:02.22,00:04:15.35,00:00:13.2300000,3,,17:39,Even,,,,,,,,,,,
78,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 007",TeamShift,00:04:03.03,00:04:07.54,00:00:04.8550000,3,"03 Samec, 04 Grant, 07 Bowman, 09 Moore, 31 Savory",17:38,Even,,,,,,,,,,,
79,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Entry 004",Opponent Entry,00:04:03.23,00:04:13.21,00:00:09.9770000,3,"03 Samec, 09 Moore, 12 Zieky, 17 Burgess, 24 Reilly, 31 Savory",17:33,Even,,,,,,,,breakout,possession,yes,
80,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 017",Shift_TOI,00:04:04.39,00:05:00.55,00:00:56.2730000,3,"06 Ferner, 09 Moore, 11 Leppanen, 12 Zieky, 28 Hallbauer, 31 Savory",17:36,Even,09 Moore,,,,,,,,,,
81,"GM30 2019-02-16 Quinnipiac at RPI P3, Defensive Zone 007",Defensive Zone,00:04:06.35,00:04:18.58,00:00:12.3960000,3,"03 Samec, 09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",17:32,Even,,,,,,,,,,,
82,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 018",Shift_TOI,00:04:07.37,00:04:34.52,00:00:27.2610000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",17:33,Even,17 Burgess,,,,,,,,,,
83,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 008",TeamShift,00:04:07.44,00:04:11.54,00:00:04.1710000,3,"03 Samec, 04 Grant, 09 Moore, 12 Zieky, 17 Burgess, 31 Savory",17:33,Even,,,,,,,,,,,
84,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 019",Shift_TOI,00:04:08.48,00:05:02.24,00:00:53.6040000,3,"06 Ferner, 11 Leppanen, 12 Zieky, 13 Lee, 28 Hallbauer, 31 Savory",17:31,Even,12 Zieky,,,,,,,,,,
85,"GM30 2019-02-16 Quinnipiac at RPI P3, Breakout 005",Breakout,00:04:11.00,00:04:19.09,00:00:08.1410000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",17:26,Even,,,,,,,,,,,dz coverage
86,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 009",TeamShift,00:04:12.20,00:04:16.10,00:00:03.8370000,3,"09 Moore, 12 Zieky, 17 Burgess, 24 Reilly, 31 Savory",17:29,Even,,,,,,,,,,,
87,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 020",Shift_TOI,00:04:12.33,00:04:43.45,00:00:31.1980000,3,"06 Ferner, 09 Moore, 11 Leppanen, 12 Zieky, 24 Reilly, 31 Savory",17:28,Even,24 Reilly,,,,,,,,,,
88,"GM30 2019-02-16 Quinnipiac at RPI P3, Entry 003",Entry,00:04:14.48,00:04:24.47,00:00:09.9770000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",17:22,Even,,,,,,,,breakout,dump,yes,
89,"GM30 2019-02-16 Quinnipiac at RPI P3, RPI Possession 007",RPI Possession,00:04:15.47,00:04:20.19,00:00:04.5210000,3,,17:26,Even,,,,,,,,,,,
90,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 010",TeamShift,00:04:15.49,00:04:34.57,00:00:19.1360000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",17:25,Even,,,,,,,,,,,
91,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 021",Shift_TOI,00:04:15.52,00:04:42.28,00:00:26.5930000,3,"09 Moore, 11 Leppanen, 12 Zieky, 23 Johnson, 24 Reilly, 31 Savory",17:25,Even,23 Johnson,,,,,,,,,,
92,"GM30 2019-02-16 Quinnipiac at RPI P3, Shot For 001",Shot For,00:04:15.56,00:04:29.55,00:00:13.9810000,3,"09 Moore, 11 Leppanen, 12 Zieky, 23 Johnson, 24 Reilly, 31 Savory",17:14,Even,23 Johnson,,,wide,high,,,,,,
93,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Possession 008",Opponent Possession,00:04:20.28,00:04:27.15,00:00:06.7900000,3,,17:22,Even,,,,,,,,,,,
94,"GM30 2019-02-16 Quinnipiac at RPI P3, Offensive Zone 001",Offensive Zone,00:04:21.29,00:04:33.05,00:00:11.6120000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",17:17,Even,,,,,,,,,,,
95,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Breakout 002",Opponent Breakout,00:04:25.07,00:04:32.40,00:00:07.5580000,3,"09 Moore, 12 Zieky, 23 Johnson, 24 Reilly, 31 Savory",17:12,Even,,,,,,,,,,,dz coverage
