,Game,Period,Time,Event,Poss,EventPoss
336,1,1,0.024612616,Opponent_breakout,Colgate,
364,1,1,0.024643634,Opponent_entry,Colgate,
2261,1,2,0.000580208,Faceoff,,
2831,1,2,0.000614352,NZ_offense,,
1100,1,2,0.000624074,RPIPoss,RPI,
2431,1,2,0.000630208,Forecheck,RPI,
1941,1,2,0.000649884,Entry,RPI,
2971,1,2,0.000663657,Offensive_zone,RPI,
1291,1,2,0.000665394,Takeaway,RPI,Colgate
1221,1,2,0.000684144,Giveaway,RPI,RPI
4210,1,2,0.000700347,OppoPoss,Colgate,
3201,1,2,0.00070625,Opponent_breakout,Colgate,
3481,1,2,0.000730208,Opponent_entry,Colgate,
1711,1,2,0.000747454,Defensive_zone,Colgate,
1041,1,2,0.000779051,Shot_against,Colgate,Colgate
1721,1,2,0.00110162,Defensive_zone,Colgate,
2271,1,2,0.001103241,Faceoff,Colgate,
1051,1,2,0.001139005,Shot_against,Colgate,Colgate
4310,1,2,0.001140046,OppoPoss,Colgate,
2681,1,2,0.001383102,NZ_forecheck,Colgate,
3821,1,2,0.001450579,Opponent_forecheck,Colgate,
3491,1,2,0.001452546,Opponent_entry,Colgate,
1731,1,2,0.001517593,Defensive_zone,Colgate,
1421,1,2,0.001580556,Breakout,Colgate,
1061,1,2,0.001591782,Shot_against,Colgate,Colgate
2441,1,2,0.001614583,Forecheck,Colgate,
1951,1,2,0.001621528,Entry,Colgate,
3211,1,2,0.001771644,Opponent_breakout,Colgate,
2841,1,2,0.001807292,NZ_offense,Colgate,
2691,1,2,0.001830903,NZ_forecheck,Colgate,
3221,1,2,0.001867824,Opponent_breakout,Colgate,
3831,1,2,0.002029745,Opponent_forecheck,Colgate,
3501,1,2,0.002031481,Opponent_entry,Colgate,
1431,1,2,0.00205,Breakout,Colgate,
1961,1,2,0.002073727,Entry,Colgate,
2981,1,2,0.002084722,Offensive_zone,Colgate,
2100,1,2,0.002085532,RPIPoss,RPI,
841,1,2,0.002129051,Shot_for,RPI,RPI
3231,1,2,0.002249074,Opponent_breakout,RPI,
2451,1,2,0.002296875,Forecheck,RPI,
1971,1,2,0.002303472,Entry,RPI,
1301,1,2,0.002355208,Takeaway,RPI,Colgate
4410,1,2,0.002443981,OppoPoss,Colgate,
2701,1,2,0.002448032,NZ_forecheck,Colgate,
2281,1,2,0.002766435,Faceoff,Colgate,
2851,1,2,0.002791204,NZ_offense,Colgate,
2461,1,2,0.00281713,Forecheck,Colgate,
1981,1,2,0.002825694,Entry,Colgate,
2861,1,2,0.002850579,NZ_offense,Colgate,
2471,1,2,0.002885417,Forecheck,Colgate,
1991,1,2,0.002887963,Entry,Colgate,
3100,1,2,0.002893866,RPIPoss,RPI,
2991,1,2,0.002918634,Offensive_zone,RPI,
1311,1,2,0.002921644,Takeaway,RPI,Colgate
851,1,2,0.002957523,Shot_for,RPI,RPI
2481,1,2,0.00301412,Forecheck,RPI,
3001,1,2,0.003085069,Offensive_zone,RPI,
4510,1,2,0.003184954,OppoPoss,Colgate,
1321,1,2,0.003194444,Takeaway,Colgate,Colgate
3241,1,2,0.003201273,Opponent_breakout,Colgate,
1331,1,2,0.003209954,Takeaway,Colgate,Colgate
498,1,2,0.003221065,RPIPoss,RPI,
2871,1,2,0.003224421,NZ_offense,RPI,
2001,1,2,0.00328912,Entry,RPI,
4610,1,2,0.003299769,OppoPoss,Colgate,
2491,1,2,0.003325231,Forecheck,Colgate,
3011,1,2,0.003337153,Offensive_zone,Colgate,
1341,1,2,0.003452083,Takeaway,Colgate,Colgate
3251,1,2,0.003558449,Opponent_breakout,Colgate,
510,1,2,0.003591551,RPIPoss,RPI,
2881,1,2,0.003591782,NZ_offense,RPI,
2011,1,2,0.003629051,Entry,RPI,
3021,1,2,0.003639583,Offensive_zone,RPI,
861,1,2,0.003691782,Shot_for,RPI,RPI
4710,1,2,0.003729514,OppoPoss,Colgate,
3261,1,2,0.003743981,Opponent_breakout,Colgate,
2891,1,2,0.003774653,NZ_offense,Colgate,
2021,1,2,0.003786921,Entry,Colgate,
610,1,2,0.003789352,RPIPoss,RPI,
3031,1,2,0.00381169,Offensive_zone,RPI,
871,1,2,0.003933912,Shot_for,RPI,RPI
2291,1,2,0.004305903,Faceoff,RPI,
3041,1,2,0.004321644,Offensive_zone,RPI,
881,1,2,0.004364005,Shot_for,RPI,RPI
891,1,2,0.004386111,Shot_for,RPI,RPI
2301,1,2,0.004656944,Faceoff,RPI,
3051,1,2,0.004688079,Offensive_zone,RPI,
1231,1,2,0.004693056,Giveaway,RPI,RPI
3271,1,2,0.004703588,Opponent_breakout,RPI,
2901,1,2,0.004715162,NZ_offense,RPI,
4810,1,2,0.004715509,OppoPoss,Colgate,
710,1,2,0.004737616,RPIPoss,RPI,
2501,1,2,0.004806019,Forecheck,RPI,
2031,1,2,0.004807986,Entry,RPI,
499,1,2,0.004863657,OppoPoss,Colgate,
1351,1,2,0.004875579,Takeaway,Colgate,Colgate
810,1,2,0.004919444,RPIPoss,RPI,
501,1,2,0.004943981,OppoPoss,Colgate,
3281,1,2,0.005002546,Opponent_breakout,Colgate,
3841,1,2,0.005025231,Opponent_forecheck,Colgate,
3511,1,2,0.005027894,Opponent_entry,Colgate,
910,1,2,0.00512963,RPIPoss,RPI,
1241,1,2,0.005152083,Giveaway,RPI,RPI
2911,1,2,0.005166667,NZ_offense,RPI,
1441,1,2,0.00519838,Breakout,RPI,
2041,1,2,0.00526956,Entry,RPI,
3061,1,2,0.005278704,Offensive_zone,RPI,
901,1,2,0.005309491,Shot_for,RPI,RPI
1361,1,2,0.005339468,Takeaway,RPI,Colgate
1371,1,2,0.005478819,Takeaway,RPI,Colgate
511,1,2,0.00548669,OppoPoss,Colgate,
1010,1,2,0.005502083,RPIPoss,RPI,
911,1,2,0.005554282,Shot_for,RPI,RPI
1381,1,2,0.005559838,Takeaway,RPI,Colgate
1251,1,2,0.005860995,Giveaway,RPI,RPI
3291,1,2,0.005870486,Opponent_breakout,RPI,
521,1,2,0.005873727,OppoPoss,Colgate,
3521,1,2,0.005883333,Opponent_entry,Colgate,
1741,1,2,0.005892593,Defensive_zone,Colgate,
1071,1,2,0.005930208,Shot_against,Colgate,Colgate
1451,1,2,0.005986111,Breakout,Colgate,
1110,1,2,0.006021528,RPIPoss,RPI,
2511,1,2,0.006025116,Forecheck,RPI,
2051,1,2,0.006033796,Entry,RPI,
1261,1,2,0.006047454,Giveaway,RPI,RPI
531,1,2,0.006057755,OppoPoss,Colgate,
2711,1,2,0.006057986,NZ_forecheck,Colgate,
3531,1,2,0.006081134,Opponent_entry,Colgate,
3851,1,2,0.006122917,Opponent_forecheck,Colgate,
1210,1,2,0.00615,RPIPoss,RPI,
1461,1,2,0.006163773,Breakout,RPI,
2061,1,2,0.006204051,Entry,RPI,
921,1,2,0.006245255,Shot_for,RPI,RPI
2311,1,2,0.007051157,Faceoff,RPI,
3071,1,2,0.007066782,Offensive_zone,RPI,
1310,1,2,0.007074421,RPIPoss,RPI,
931,1,2,0.007106366,Shot_for,RPI,RPI
541,1,2,0.007190972,OppoPoss,Colgate,
3301,1,2,0.007247222,Opponent_breakout,Colgate,
3541,1,2,0.007262616,Opponent_entry,Colgate,
1751,1,2,0.007271644,Defensive_zone,Colgate,
1471,1,2,0.007477315,Breakout,Colgate,
398,1,2,0.007482986,Penalty,Colgate,
399,1,2,0.007895255,Penalty_kill,Colgate,
2321,1,2,0.007906481,Faceoff,Colgate,
400,1,2,0.00794294,Zone_clear,Colgate,
1410,1,2,0.007952662,RPIPoss,RPI,
1481,1,2,0.007965856,Breakout,RPI,
2521,1,2,0.008004051,Forecheck,RPI,
551,1,2,0.008021644,OppoPoss,Colgate,
3551,1,2,0.008130671,Opponent_entry,Colgate,
1761,1,2,0.008142361,Defensive_zone,Colgate,
1081,1,2,0.0083875,Shot_against,Colgate,Colgate
401,1,2,0.008397917,Zone_clear,Colgate,
1491,1,2,0.008407523,Breakout,Colgate,
1510,1,2,0.008416782,RPIPoss,RPI,
561,1,2,0.008461343,OppoPoss,Colgate,
2531,1,2,0.008461574,Forecheck,Colgate,
3561,1,2,0.00853669,Opponent_entry,Colgate,
1771,1,2,0.008555671,Defensive_zone,Colgate,
1091,1,2,0.00865544,Shot_against,Colgate,Colgate
1501,1,2,0.008686111,Breakout,Colgate,
1610,1,2,0.008693287,RPIPoss,RPI,
