"Game","Period","Time","Event","Poss","EventPoss","PossID","EventSeq"
1,1,0.01987188,"","Colgate","",31,1
1,1,0.0198897,"","RPI","",31,1
1,1,0.01997407,"Shot_for","RPI","RPI",31,2
1,1,0.020245023,"Faceoff","RPI","",31,3
1,1,0.020261111,"Offensive_zone","RPI","",31,4
1,1,0.02028553,"Shot_for","RPI","RPI",31,5
1,1,0.020705324,"Faceoff","RPI","",31,6
1,1,0.020723148,"NZ_forecheck","RPI","",31,7
1,1,0.02074259,"","Colgate","",32,1
1,1,0.020770486,"Goalie_touch","Colgate","",32,2
1,1,0.020803704,"Breakout","Colgate","",32,3
1,1,0.02081435,"","RPI","",32,1
1,1,0.020857523,"Entry","RPI","",32,2
1,1,0.020881366,"Offensive_zone","RPI","",32,3
1,1,0.02094468,"Shot_for","RPI","RPI",32,4
1,1,0.020972685,"Opponent_breakout","RPI","",32,5
1,1,0.02099757,"","Colgate","",33,1
1,1,0.021241782,"Faceoff","Colgate","",33,2
1,1,0.021279167,"Opponent_breakout","Colgate","",33,3
1,1,0.0213103,"","Colgate","",33,4
1,1,0.021311458,"Opponent_forecheck","Colgate","",33,5
1,1,0.021319444,"Opponent_entry","Colgate","",33,6
1,1,0.021342824,"Penalty","Colgate","",33,7
1,1,0.021367708,"Breakout","Colgate","",33,8
1,1,0.021809838,"Penalty_kill","Colgate","",33,9
1,1,0.021821065,"Faceoff","Colgate","",33,10
1,1,0.021915625,"NZ_forecheck","Colgate","",33,11
1,1,0.02196169,"","Colgate","",33,12
1,1,0.021970833,"Opponent_forecheck","Colgate","",33,13
1,1,0.021972454,"Opponent_entry","Colgate","",33,14
1,1,0.022008565,"Zone_clear","Colgate","",33,15
1,1,0.022107176,"Defensive_zone","Colgate","",33,16
1,1,0.02218125,"Shot_against","Colgate","Colgate",33,17
1,1,0.02220301,"Shot_against","Colgate","Colgate",33,18
1,1,0.022327315,"Zone_clear","Colgate","",33,19
1,1,0.022354051,"Breakout","Colgate","",33,20
